# SPDX License List 3.27.0 (https://github.com/spdx/license-list-data/tree/v3.27.0)
# id<TAB>flags: D=deprecated O=OSI approved F=FSF libre
DEC-3-Clause	
diffmark	
DL-DE-BY-2.0	
DL-DE-ZERO-2.0	
DOC	
DocBook-DTD	
DocBook-Schema	
DocBook-Stylesheet	
DocBook-XML	
Dotseqn	
DRL-1.0	
DRL-1.1	
DSDP	
dtoa	
dvipdfm	
ECL-1.0	O
ECL-2.0	OF
eCos-2.0	DF
EFL-1.0	O
EFL-2.0	OF
eGenix	
Elastic-2.0	
Entessa	O
EPICS	
EPL-1.0	OF
EPL-2.0	OF
ErlPL-1.1	
etalab-2.0	
EUDatagrid	OF
EUPL-1.0	
EUPL-1.1	OF
EUPL-1.2	OF
Eurosym	
Fair	O
FBM	
FDK-AAC	
Ferguson-Twofish	
Frameworx-1.0	O
FreeBSD-DOC	
FreeImage	
FSFAP	F
FSFAP-no-warranty-disclaimer	
FSFUL	
FSFULLR	
FSFULLRSD	
FSFULLRWD	
FSL-1.1-ALv2	
FSL-1.1-MIT	
FTL	F
Furuseth	
fwlw	
Game-Programming-Gems	
GCR-docs	
GD	
generic-xts	
GFDL-1.1	DF
GFDL-1.1-invariants-only	
GFDL-1.1-invariants-or-later	
GFDL-1.1-no-invariants-only	
GFDL-1.1-no-invariants-or-later	
GFDL-1.1-only	F
GFDL-1.1-or-later	F
GFDL-1.2	DF
GFDL-1.2-invariants-only	
GFDL-1.2-invariants-or-later	
GFDL-1.2-no-invariants-only	
GFDL-1.2-no-invariants-or-later	
GFDL-1.2-only	F
GFDL-1.2-or-later	F
GFDL-1.3	DF
GFDL-1.3-invariants-only	
GFDL-1.3-invariants-or-later	
GFDL-1.3-no-invariants-only	
GFDL-1.3-no-invariants-or-later	
GFDL-1.3-only	F
GFDL-1.3-or-later	F
Giftware	
GL2PS	
Glide	
Glulxe	
GLWTPL	
gnuplot	F
GPL-1.0	D
GPL-1.0+	D
GPL-1.0-only	
GPL-1.0-or-later	
GPL-2.0	DOF
GPL-2.0+	DOF
GPL-2.0-only	OF
GPL-2.0-or-later	OF
GPL-2.0-with-autoconf-exception	D
GPL-2.0-with-bison-exception	D
GPL-2.0-with-classpath-exception	D
GPL-2.0-with-font-exception	D
GPL-2.0-with-GCC-exception	D
GPL-3.0	DOF
GPL-3.0+	DOF
GPL-3.0-only	OF
GPL-3.0-or-later	OF
GPL-3.0-with-autoconf-exception	D
GPL-3.0-with-GCC-exception	DO
Graphics-Gems	
gSOAP-1.3b	
gtkbook	
Gutmann	
HaskellReport	
HDF5	
hdparm	
HIDAPI	
Hippocratic-2.1	
HP-1986	
HP-1989	
HPND	OF
HPND-DEC	
HPND-doc	
HPND-doc-sell	
HPND-export-US	
HPND-export-US-acknowledgement	
HPND-export-US-modify	
HPND-export2-US	
HPND-Fenneberg-Livingston	
HPND-INRIA-IMAG	
HPND-Intel	
HPND-Kevlin-Henney	
HPND-Markus-Kuhn	
HPND-merchantability-variant	
HPND-MIT-disclaimer	
HPND-Netrek	
HPND-Pbmplus	
HPND-sell-MIT-disclaimer-xserver	
HPND-sell-regexpr	
HPND-sell-variant	
HPND-sell-variant-MIT-disclaimer	
HPND-sell-variant-MIT-disclaimer-rev	
HPND-UC	
HPND-UC-export-US	
HTMLTIDY	
IBM-pibs	
ICU	O
IEC-Code-Components-EULA	
IJG	F
IJG-short	
ImageMagick	
iMatix	F
Imlib2	F
Info-ZIP	
Inner-Net-2.0	
InnoSetup	
Intel	OF
Intel-ACPI	
Interbase-1.0	
IPA	OF
IPL-1.0	OF
ISC	OF
ISC-Veillard	
Jam	O
JasPer-2.0	
jove	
JPL-image	
JPNIC	
JSON	
Kastrup	
Kazlib	
Knuth-CTAN	
LAL-1.2	
LAL-1.3	
Latex2e	
Latex2e-translated-notice	
Leptonica	
LGPL-2.0	DO
LGPL-2.0+	DO
LGPL-2.0-only	O
LGPL-2.0-or-later	O
